Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
Cliff Aberson,26,CHC,NL,12,37,32,1,6,1,0,1,6,0,,5,10,0.188,0.297,0.313,0.61,69,10,0,0,0,,,/7O
Bobby Adams,26,CIN,NL,87,294,262,33,78,20,3,1,21,6,,25,23,0.298,0.361,0.408,0.77,110,107,5,1,7,,,4/5
Herb Adams*,20,CHW,AL,5,13,11,1,3,1,0,0,0,0,0,1,1,0.273,0.333,0.364,0.697,88,4,0,0,1,,,/O89
Andy Anderson,25,SLB,AL,51,96,87,13,24,5,1,1,12,0,0,8,15,0.276,0.337,0.391,0.728,91,34,7,0,1,,,46/3
Hub Andrews,25,NYG,NL,1,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Johnny Antonelli*,18,BSN,NL,4,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Luke Appling,41,CHW,AL,139,594,497,63,156,16,2,0,47,10,4,94,35,0.314,0.423,0.354,0.777,111,176,17,0,3,,,56
Hank Arft*,26,SLB,AL,69,296,248,25,59,10,3,5,38,1,2,45,43,0.238,0.355,0.363,0.718,89,90,7,0,3,,,3
Richie Ashburn*,21,PHI,NL,117,530,463,78,154,17,4,2,40,32,,60,22,0.333,0.41,0.4,0.81,123,185,1,1,6,,,*O87
Bill Baker,37,STL,NL,45,134,119,13,35,10,1,0,15,1,,15,7,0.294,0.373,0.395,0.768,103,47,4,0,0,,,2
Floyd Baker*,31,CHW,AL,104,411,335,47,72,8,3,0,18,4,10,73,26,0.215,0.359,0.257,0.615,68,86,5,2,2,,,54/6
Hal Bamberger*,23,NYG,NL,7,13,12,0,1,0,0,0,0,0,,1,2,0.083,0.154,0.083,0.237,-35,1,0,0,0,,,/O98
Jack Banta*,23,BRO,NL,2,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,-100,0,0,0,0,,,/1
Rex Barney,23,BRO,NL,44,90,84,5,14,0,0,0,2,0,,2,40,0.167,0.186,0.167,0.353,-5,14,2,0,4,,,1
Red Barrett,33,BSN,NL,34,44,39,0,7,0,0,0,3,0,,0,11,0.179,0.179,0.179,0.359,-2,7,2,0,4,,,1
Monty Basgall,26,PIT,NL,38,56,51,12,11,1,0,2,6,0,,3,5,0.216,0.259,0.353,0.612,63,18,1,0,0,,,4
Matt Batts,26,BOS,AL,46,137,118,13,37,12,0,1,24,0,0,15,9,0.314,0.391,0.441,0.832,116,52,4,0,4,,,2
Hank Bauer,25,NYY,AL,19,56,50,6,9,1,1,1,9,1,0,6,13,0.18,0.268,0.3,0.568,51,15,0,0,0,,,O/79
Frank Baumholtz*,29,CIN,NL,128,450,415,57,123,19,5,4,30,8,,27,32,0.296,0.344,0.395,0.739,102,164,6,3,4,,,*O98
Ted Beard*,27,PIT,NL,25,95,81,15,16,1,3,0,7,5,,12,18,0.198,0.316,0.284,0.6,62,23,0,2,0,,,8O
Gene Bearden*,27,CLE,AL,37,97,90,14,23,3,0,2,14,0,0,5,9,0.256,0.295,0.356,0.65,75,32,2,0,2,,,1
Johnny Beazley,30,BSN,NL,3,5,4,0,0,0,0,0,0,0,,0,1,0,0,0,0,-100,0,0,0,1,,,/1
Clarence Beers,29,STL,NL,1,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Joe Beggs,37,NYG,NL,1,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,,,/1
Hank Behrman,27,BRO,NL,34,33,28,2,3,0,0,0,1,0,,1,12,0.107,0.138,0.107,0.245,-34,3,0,0,4,,,1
Al Benton,37,DET,AL,30,13,11,1,2,1,0,0,1,0,0,0,6,0.182,0.182,0.273,0.455,18,3,0,0,2,,,1
Johnny Berardino,31,CLE,AL,66,179,147,19,28,5,1,2,10,0,1,27,16,0.19,0.328,0.279,0.607,64,41,6,3,2,,,436/5
Johnny Bero*,25,DET,AL,4,10,9,2,0,0,0,0,0,0,0,1,1,0,0.1,0,0.1,-72,0,0,0,0,,,/4
