player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Quincy Acy,TOR,22,PF,29,342,116,42,75,31,38,11,77,13,15,17,53
Jeff Adrien,CHA,26,PF,52,713,209,72,168,65,100,36,196,18,27,32,80
Arron Afflalo,ORL,27,SF,64,2307,1057,397,905,191,223,206,239,40,11,138,137
Josh Akognon,DAL,26,PG,3,9,5,2,4,0,0,1,1,0,0,0,3
Cole Aldrich,TOT,24,C,45,388,100,44,80,12,20,9,120,5,23,23,60
Cole Aldrich,HOU,24,C,30,213,50,23,43,4,9,6,57,3,9,14,41
Cole Aldrich,SAC,24,C,15,175,50,21,37,8,11,3,63,2,14,9,19
LaMarcus Aldridge,POR,27,PF,74,2790,1560,638,1318,282,348,192,670,62,91,143,187
Lavoy Allen,PHI,23,C,79,1669,455,206,454,43,60,73,395,24,55,55,180
Ray Allen,MIA,37,SG,79,2035,863,292,651,140,158,135,217,67,15,103,129
Tony Allen,MEM,31,SG,79,2109,705,284,638,134,187,98,363,119,44,94,211
Al-Farouq Aminu,NOH,22,SF,76,2066,555,225,474,101,137,103,585,92,51,116,153
Lou Amundson,TOT,30,PF,39,372,76,32,81,12,36,11,106,16,12,19,53
Lou Amundson,MIN,30,PF,20,161,32,14,38,4,20,3,47,7,6,11,26
Lou Amundson,CHI,30,PF,1,2,0,0,1,0,0,0,1,0,0,0,0
Lou Amundson,NOH,30,PF,18,209,44,18,42,8,16,8,58,9,6,8,27
Chris Andersen,MIA,34,C,42,624,207,71,123,63,93,17,172,16,44,24,89
Alan Anderson,TOR,30,SF,65,1495,693,236,616,126,147,103,148,48,7,80,131
James Anderson,TOT,23,SG-SF,39,401,149,52,126,24,28,42,72,15,5,25,25
James Anderson,SAS,23,SF,10,94,34,11,25,7,9,9,14,3,2,7,7
James Anderson,HOU,23,SG,29,307,115,41,101,17,19,33,58,12,3,18,18
Ryan Anderson,NOH,24,PF,81,2503,1309,472,1115,152,180,97,519,42,31,97,179
